Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1557406200,6000.7,6000.7,5996.03,5996.91,1.27396335,7639.3886699,5996.552938399999
1557406260,5996.98,6000.0,5955.69,5974.81,278.07377731,1661502.3509,5975.0414689
1557406320,5974.77,5995.59,5968.53,5994.21,39.8388273,238373.63064000002,5983.4499857
1557406380,5995.0,5995.0,5994.79,5994.79,1.07445061,6441.3135507,5994.983381100001
1557406440,5994.7,5996.0,5991.78,5994.71,17.79433572,106668.35104,5994.5115526
1557406500,5994.7,5998.6,5993.09,5998.6,10.41659543,62465.462666,5996.7254258
1557406560,5999.5,6000.7,5998.06,5999.85,1.98405006,11904.3959,6000.0481541
1557406620,6001.8,6005.3,5999.85,6004.7,19.0788987,114555.04585999998,6004.279789
1557406680,6002.96,6003.27,5998.69,6002.96,3.22561595,19355.322216999997,6000.5042501
1557406740,6002.96,6002.96,5997.26,5997.26,25.81095306,154902.9445,6001.4422614
1557406800,5998.32,5999.12,5989.46,5992.39,11.35895383,68094.962523,5994.8269482000005
1557406860,5991.15,5992.65,5983.43,5985.42,5.9163129,35430.701494,5988.645646800001
1557406920,5982.13,5988.62,5981.68,5984.76,22.48756113,134618.40860999998,5986.3498684
1557406980,5984.96,5988.62,5982.94,5986.72,9.55600952,57198.424096,5985.597228199999
1557407040,5986.25,5987.91,5983.0,5985.9,4.91241523,29404.578885000003,5985.7682033
1557407100,5984.79,5988.9,5982.03,5987.27,4.14386608,24798.39958,5984.363177
1557407160,5986.0,5987.28,5978.25,5985.16,59.32964899,355139.69362,5985.8721511
1557407220,5982.64,5982.64,5965.95,5965.95,11.72522142,70064.065431,5975.5004124
1557407280,5962.8,5972.32,5956.3,5972.0,57.25475441,341547.23842,5965.3952223999995
1557407340,5972.02,5973.26,5966.5,5967.74,12.71636235,75908.374664,5969.346624
1557407400,5968.5,5972.99,5966.0,5966.0,6.90660399,41230.232252999995,5969.6823956
1557407460,5966.0,5973.9,5965.4,5973.9,9.43770845,56325.763920000005,5968.1610444
1557407520,5973.8,5978.95,5967.61,5971.08,5.61339626,33523.836585000005,5972.1129656
1557407580,5974.9,5977.07,5973.17,5975.81,4.17914338,24970.955629,5975.1373327
1557407640,5975.8,5975.8,5965.62,5967.52,5.50026601,32844.005139,5971.348491
1557407700,5964.07,5964.07,5957.88,5961.71,17.72890596,105677.6785,5960.7557702
1557407760,5962.63,5969.79,5958.25,5969.79,9.47288203,56470.96441,5961.3287943000005
1557407820,5965.6,5970.0,5964.07,5968.51,5.84850073,34908.095658,5968.7255365
1557407880,5969.9,5983.12,5969.9,5983.12,6.44794168,38545.685391,5977.9829446
1557407940,5983.22,5986.96,5973.66,5977.94,17.53774735,104811.9461,5976.363099
1557408000,5977.28,5980.31,5974.91,5980.31,2.92446753,17481.712909,5977.742180300001
1557408060,5983.0,5986.93,5978.98,5985.67,10.33336811,61838.487199,5984.349588699999
1557408120,5986.2,5989.62,5984.23,5986.37,4.02130686,24077.767249,5987.5478514
1557408180,5988.7,5991.0,5988.7,5990.0,19.19543875,114979.64447999999,5989.9461522
1557408240,5990.0,5990.0,5982.74,5985.13,7.71027125,46159.462644,5986.749512100001
1557408300,5986.34,5993.12,5986.34,5989.25,9.91719368,59400.392060000006,5989.637187300001
1557408360,5990.23,5992.05,5987.4,5992.05,10.27501557,61530.835358000004,5988.3933936
1557408420,5990.6,5992.0,5985.44,5990.05,7.725376600000001,46279.415769,5990.5708376
1557408480,5988.93,5988.93,5985.0,5985.0,7.3238575,43834.898563999996,5985.2200243
1557408540,5979.02,5979.02,5978.5,5978.5,2.09951066,12552.501681,5978.7749212
1557408600,5979.02,5986.7,5977.45,5981.72,29.20131945,174680.07545,5981.9240617
1557408660,5984.9,5992.62,5984.52,5987.83,7.45256633,44611.862869,5986.1074553
1557408720,5987.83,5988.02,5986.75,5986.75,5.99253819,35881.282199,5987.6601635
1557408780,5986.5,5991.3,5986.5,5991.3,6.87784398,41186.885695,5988.342540899999
1557408840,5991.36,5994.71,5990.75,5992.12,11.93880869,71534.829936,5991.789616
1557408900,5993.49,6000.03,5992.52,5999.55,11.98004734,71828.78754,5995.7014778
1557408960,5996.87,5996.87,5995.22,5995.24,2.86765625,17195.099859,5996.2207323
1557409020,5995.22,6002.07,5994.05,5995.0,47.62210834,285574.27561,5996.6743507
1557409080,5995.8,6002.4,5995.8,5999.21,12.32962739,73979.297192,6000.124322600001
1557409140,6000.4,6008.41,5999.42,6006.6,7.39494595,44390.299245999995,6002.7888704
1557409200,6004.36,6007.12,6004.36,6004.36,4.06777812,24427.071948,6005.0158163999995
1557409260,6004.36,6007.59,6004.36,6007.59,8.009058900000001,48096.961821,6005.3200283999995
1557409320,6007.58,6009.9,6006.3,6009.9,6.72426807,40400.995742,6008.2369295
1557409380,6005.89,6007.74,6004.9,6007.74,5.40277145,32452.654167,6006.667960600001
1557409440,6004.98,6007.7,6004.95,6007.7,2.3769093,14276.480633000001,6006.3211638
1557409500,6005.8,6010.0,6005.8,6010.0,10.90072559,65486.265622000006,6007.514369699999
1557409560,6010.0,6012.59,6007.29,6012.59,7.58448866,45582.149198,6009.9172458
1557409620,6010.3,6015.12,6010.3,6015.12,0.3125172,1879.4936607,6014.0487009
1557409680,6015.13,6019.68,6011.55,6013.2,14.781144699999999,88927.62929099999,6016.2883928
1557409740,6014.05,6017.77,6012.88,6013.2,0.20291384,1220.5881438,6015.3025726000005
1557409800,6011.64,6015.49,6009.31,6010.33,1.91388069,11506.423181,6012.0901169
1557409860,6012.4,6012.4,6006.14,6006.14,5.548197099999999,33346.172148000005,6010.2717238000005
1557409920,6009.28,6011.66,6007.48,6009.8,2.50099852,15025.402786,6007.761566300001
1557409980,6006.09,6011.16,6006.09,6009.11,14.85173564,89215.644888,6007.0854377
1557410040,6009.11,6011.2,6007.75,6009.67,1.82997413,10997.373274,6009.5785473000005
1557410100,6009.67,6011.2,6009.67,6011.19,2.29519904,13795.580659000001,6010.6249693
1557410160,6008.63,6011.2,6008.63,6009.61,3.43278469,20633.894561,6010.8327275
1557410220,6011.2,6012.0,6008.97,6012.0,3.24003211,19478.408219,6011.7948086999995
1557410280,6011.4,6012.0,6008.72,6009.2,5.97726968,35932.077237,6011.453248899999
1557410340,6012.0,6012.0,6007.2,6010.38,0.98820928,5938.4614308,6009.3155883
1557410400,6007.2,6009.1,6001.0,6001.54,7.10808516,42674.165618,6003.6092221
1557410460,6001.02,6003.22,5995.85,5998.74,6.49417325,38965.629460000004,6000.0908445000005
1557410520,5998.74,5999.24,5996.66,5997.21,1.38525096,8307.5429193,5997.1392615
1557410580,5997.23,5999.0,5997.21,5999.0,0.23588095,1415.046259,5998.984907600001
1557410640,5999.0,6001.0,5999.0,5999.41,4.17302158,25038.112366999998,5999.9958991
1557410700,5998.93,6002.0,5998.93,6002.0,0.41650712,2498.6453511,5999.0459493
1557410760,6002.0,6006.6,6000.6,6006.6,10.22205888,61353.453777999996,6002.064212100001
1557410820,6006.91,6007.0,6006.16,6007.0,1.89737806,11397.534739,6006.991953199999
1557410880,6005.43,6007.0,6005.25,6007.0,8.12830591,48822.208894999996,6006.443339500001
1557410940,6006.18,6007.0,6005.84,6007.0,4.76462134,28618.362752999998,6006.4296218
1557411000,6004.89,6009.38,6004.89,6006.49,4.5831394,27530.920295,6007.0004188
1557411060,6008.25,6019.6,6008.25,6018.14,16.73632874,100685.62056,6015.992044899999
1557411120,6015.34,6017.63,6011.99,6014.67,10.47099301,62994.941777,6016.1382704
